CD_MUN,NM_MUN,SIGLA,REGIAO_MUN,AREA_MUN,CNUC,NM_UC,REGIAO_UC,AREA_UC,AREA_SOBREP,PERC_SOBREP,PERC_TOTAL
4201257,Apiúna,SC,Sul,0.04492056962520196,0000.00.0150,PARQUE NACIONAL DA SERRA DO ITAJAÍ,Sul,0.051803116008199555,0.009128374794165844,0.20321146571223614,0.21302219901969713
4201703,Ascurra,SC,Sul,0.010261883457525487,0000.00.0093,FLORESTA NACIONAL DE IBIRAMA,Sul,0.00047234357205809855,9.863832280646047e-06,0.000961210709659002,0.000961210709659002
4206900,Ibirama,SC,Sul,0.022471871268988093,0000.00.0093,FLORESTA NACIONAL DE IBIRAMA,Sul,0.00047234357205809855,2.177601116538281e-05,0.0009690341718642011,0.0009690341718642011
4202404,Blumenau,SC,Sul,0.04711000509325278,0000.00.0150,PARQUE NACIONAL DA SERRA DO ITAJAÍ,Sul,0.051803116008199555,0.008914461263579131,0.18922649755467516,0.18922649755467516
4202701,Botuverá,SC,Sul,0.026989312705067842,0000.00.0150,PARQUE NACIONAL DA SERRA DO ITAJAÍ,Sul,0.051803116008199555,0.005590393172111359,0.2071335877723792,0.2071335877723792
4202909,Brusque,SC,Sul,0.025912979822246118,0000.00.0150,PARQUE NACIONAL DA SERRA DO ITAJAÍ,Sul,0.051803116008199555,6.546845195513657e-08,2.5264733119937193e-06,2.5264733119937193e-06
4205902,Gaspar,SC,Sul,0.03513297685340152,0000.00.0150,PARQUE NACIONAL DA SERRA DO ITAJAÍ,Sul,0.051803116008199555,0.0010577288701758497,0.03010644029936342,0.03010644029936342
4206306,Guabiruba,SC,Sul,0.015669398684343177,0000.00.0150,PARQUE NACIONAL DA SERRA DO ITAJAÍ,Sul,0.051803116008199555,0.004613533375177206,0.29442950990755223,0.29442950990755223
4207502,Indaial,SC,Sul,0.03916969659531163,0000.00.0150,PARQUE NACIONAL DA SERRA DO ITAJAÍ,Sul,0.051803116008199555,0.016892931944881,0.4312755372964257,0.4312755372964257
4214102,Presidente Nereu,SC,Sul,0.020483756184052317,0000.00.0150,PARQUE NACIONAL DA SERRA DO ITAJAÍ,Sul,0.051803116008199555,0.004461251055887857,0.21779457907047223,0.21779457907047223
4219200,Vidal Ramos,SC,Sul,0.03165316862279806,0000.00.0150,PARQUE NACIONAL DA SERRA DO ITAJAÍ,Sul,0.051803116008199555,0.0011443760637693367,0.03615360210557577,0.03615360210557577
4202305,Biguaçu,SC,Sul,0.03338406921017998,0000.00.0001,ÁREA DE PROTEÇÃO AMBIENTAL ANHATOMIRIM,Sul,0.004048590666670696,2.6671779195074758e-06,7.989373322692967e-05,7.989373322692967e-05
4205407,Florianópolis,SC,Sul,0.06167526574146553,0000.00.0001,ÁREA DE PROTEÇÃO AMBIENTAL ANHATOMIRIM,Sul,0.004048590666670696,1.3072638773309007e-06,2.119591803318329e-05,0.043340718278463516
4205407,Florianópolis,SC,Sul,0.06167526574146553,0000.00.0214,RESERVA BIOLÓGICA MARINHA DO ARVOREDO,Sul,0.01558399812752677,0.00030597336586521255,0.0049610384679623755,0.043340718278463516
4205407,Florianópolis,SC,Sul,0.06167526574146553,0000.00.0052,ESTAÇÃO ECOLÓGICA DE CARIJÓS,Sul,0.0006933470448718441,0.0006933470448718441,0.011241897972167032,0.043340718278463516
4205407,Florianópolis,SC,Sul,0.06167526574146553,0000.00.0006,ÁREA DE PROTEÇÃO AMBIENTAL DA BALEIA FRANCA,Sul,0.14253942637079622,0.00012974865918275507,0.0021037389563369553,0.043340718278463516
4205407,Florianópolis,SC,Sul,0.06167526574146553,0000.00.0255,RESERVA EXTRATIVISTA MARINHA DO PIRAJUBAÉ,Sul,0.0015426739834530872,0.0015426739834530872,0.025012846963963973,0.043340718278463516
4206009,Governador Celso Ramos,SC,Sul,0.011636761998925098,0000.00.0001,ÁREA DE PROTEÇÃO AMBIENTAL ANHATOMIRIM,Sul,0.004048590666670696,0.00404444805150426,0.3475578560322752,0.3475578560322752
4202453,Bombinhas,SC,Sul,0.0032003198479856375,0000.00.0214,RESERVA BIOLÓGICA MARINHA DO ARVOREDO,Sul,0.01558399812752677,5.305100892820127e-05,0.01657678339919459,0.01657678339919459
4202503,Bom Jardim da Serra,SC,Sul,0.08638443445704021,0000.00.0165,PARQUE NACIONAL DE SÃO JOAQUIM,Sul,0.04564455083639606,0.016259710413754135,0.18822500275602594,0.18822500275602594
4206108,Grão-Pará,SC,Sul,0.030717652722681267,0000.00.0165,PARQUE NACIONAL DE SÃO JOAQUIM,Sul,0.04564455083639606,0.0035605180797344724,0.11591113786846939,0.11591113786846939
4209607,Lauro Müller,SC,Sul,0.02502764775016737,0000.00.0165,PARQUE NACIONAL DE SÃO JOAQUIM,Sul,0.04564455083639606,0.0015770804553109853,0.06301353091803998,0.06301353091803998
4211702,Orleans,SC,Sul,0.05057319156205682,0000.00.0165,PARQUE NACIONAL DE SÃO JOAQUIM,Sul,0.04564455083639606,0.012405253547292328,0.24529307255742835,0.24529307255742835
4218905,Urubici,SC,Sul,0.09373348924812312,0000.00.0165,PARQUE NACIONAL DE SÃO JOAQUIM,Sul,0.04564455083639606,0.011841988340304284,0.12633679206112988,0.12633679206112988
4203006,Caçador,SC,Sul,0.08923688575659684,0000.00.0078,FLORESTA NACIONAL DE CAÇADOR,Sul,0.0006411202468843847,0.0006411202468843847,0.007184475807830282,0.007184475807830282
4203808,Canoinhas,SC,Sul,0.10371999392255167,0000.00.0134,FLORESTA NACIONAL DE TRÊS BARRAS,Sul,0.003960741724021655,4.524219032894295e-05,0.0004361954587340755,0.0004361954587340755
4218301,Três Barras,SC,Sul,0.039408827211686814,0000.00.0134,FLORESTA NACIONAL DE TRÊS BARRAS,Sul,0.003960741724021655,0.003915499533692701,0.09935590096757681,0.09935590096757681
